,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,O=S,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
11 / 1 . ,1.1346,64.4729,3.5739,11.7865,,0.0336,0.9011,2.5729,0.1544,9.3551,,2.2205,4.1896,0,100.395,0,100.395,-9101,24913,276, , ,CR1A2_2 Pt1,15666.43,12.4934,11,2/25/2020 10:16,Glass (on the basis of 24 O)
12 / 1 . ,1.2836,65.6739,3.5355,9.9702,,0.0126,0.8387,2.3527,0.1336,8.5538,,1.8361,4.0457,0.0203,98.2565,0.0051,98.2514,-9138,24955,276, , ,CR1A2_2 Pt2,15687.22,12.1519,12,2/25/2020 10:25,Glass (on the basis of 24 O)
13 / 1 . ,1.1906,60.9201,4.2585,9.5346,,0.0543,1.314,2.8101,0.2356,10.8732,,1.6343,3.37,0.019,96.2143,0.0047,96.2095,-9194,24982,276, , ,CR1A2_2 Pt3,15731.07,12.2284,13,2/25/2020 10:33,Glass (on the basis of 24 O)
14 / 1 . ,1.6111,57.8319,5.1046,9.9962,,0.0272,1.6891,3.4026,0.2555,11.6214,,1.7091,3.8531,0,97.1017,0,97.1017,-9216,24880,276, , ,CR1A2_2 Pt4,15785.83,12.5166,14,2/25/2020 10:45,Glass (on the basis of 24 O)
15 / 1 . ,1.2985,62.074,2.8559,12.755,,0.0235,0.9151,3.6246,0.1341,9.0281,,2.592,2.4515,0.009,97.7614,0.0022,97.7592,-9013,24874,276, , ,CR1A2_2 Pt5,15596.84,12.0773,15,2/25/2020 10:54,Glass (on the basis of 24 O)
16 / 1 . ,1.0295,64.408,3.5953,11.5379,,0.026,0.8876,3.522,0.1242,9.47,,3.4246,2.3143,0.0193,100.3586,0.0048,100.3538,-8968,24964,276, , ,CR1A2_2 Pt6,15524.03,12.4303,16,2/25/2020 11:03,Glass (on the basis of 24 O)
17 / 1 . ,1.0472,62.2047,3.941,10.1473,,0,0.9706,3.228,0.1405,9.9343,,1.6339,3.587,0.0168,96.8512,0.0042,96.847,-9016,25028,276, , ,CR1A2_2 Pt7,15547.88,12.1944,17,2/25/2020 11:11,Glass (on the basis of 24 O)
1 / 1 . ,0.5264,51.6529,1.7237,19.4951,,0.0054,1.2571,6.3927,0.0811,6.1386,,3.6602,1.6895,0.0074,92.63,0.0019,92.6281,4551,28471,196, , ,CR1A3_1 PT1,0,11.2207,1,1/16/2020 8:54,Glass (on the basis of 24 O)
2 / 1 . ,0.6744,46.8817,2.2063,19.4496,,0.0108,0.987,5.1825,0.0878,6.7541,,3.1,1.3828,0.0288,86.7458,0.0072,86.7386,4535,28532,196, , ,CR1A3_1 PT2,63.06,10.5985,2,1/16/2020 9:04,Glass (on the basis of 24 O)
3 / 1 . ,0.5245,47.3815,1.7689,18.6954,,0,2.1944,5.9784,0.1259,6.8677,,3.0052,1.314,0.0362,87.8921,0.009,87.8831,4501,28483,196, , ,CR1A3_1 PT3,51.42,10.7508,3,1/16/2020 9:14,Glass (on the basis of 24 O)
5 / 1 . ,0.5398,40.9496,3.7808,16.6241,,0.0193,3.0349,5.1814,0.1261,13.5388,,1.988,1.0106,0.0409,86.8344,0.0102,86.8242,4559,28549,196, , ,CR1A3_1 PT5,78.41,11.4393,5,1/16/2020 9:39,Glass (on the basis of 24 O)
6 / 1 . ,1.0441,56.613,2.0032,22.965,,0.0134,0.6855,3.2218,0.0794,5.3444,,5.3273,1.2446,0.0238,98.5655,0.0059,98.5595,4559,28576,196, , ,CR1A3_1 PT6,105.3,11.5674,6,1/16/2020 9:49,Glass (on the basis of 24 O)
7 / 1 . ,0.9475,64.2579,3.2912,11.7515,,0.0179,1.2133,3.8091,0.1568,9.5448,,2.6687,3.1571,0.0149,100.8308,0.0037,100.827,-2395,23022,196, , ,CR1A3_2 PT1,8828.28,12.5477,7,1/16/2020 10:24,Glass (on the basis of 24 O)
8 / 1 . ,1.09,62.4693,3.5185,9.6559,,0,0.8163,2.5778,0.1274,9.077,,1.0721,3.9932,0.0045,94.402,0.0011,94.4009,-2361,23028,196, , ,CR1A3_2 PT2,8797.84,11.8027,8,1/16/2020 10:33,Glass (on the basis of 24 O)
9 / 1 . ,0.6957,69.1571,1.7587,12.6912,,0.0212,0.3821,2.2788,0.0885,3.6759,,2.576,4.2221,0.0148,97.5621,0.0037,97.5584,-2426,23027,196, , ,CR1A3_2 PT3,8849.61,11.4262,9,1/16/2020 10:43,Glass (on the basis of 24 O)
11 / 1 . ,1.2054,67.8453,2.1809,12.2354,,0.0057,0.5711,2.317,0.112,5.7149,,2.1237,3.9678,0.0102,98.2894,0.0026,98.2869,-2317,23118,196, , ,CR1A3_2 PT5,8707.7,11.7474,11,1/16/2020 11:05,Glass (on the basis of 24 O)
12 / 1 . ,0.3867,65.4084,0.9007,18.8829,,0,0.1682,4.3936,0.0318,2.0923,,5.9875,1.9381,0.0128,100.203,0.0032,100.1998,-2300,23164,196, , ,CR1A3_2 PT6,8666.05,11.4256,12,1/16/2020 11:17,Glass (on the basis of 24 O)
13 / 1 . ,0.5789,68.2543,2.1693,11.3384,,0.0036,0.8394,2.3247,0.1547,7.2766,,1.6442,3.8264,0.0011,98.4113,0.0003,98.411,-2338,23068,196, , ,CR1A3_2 PT7,8755.04,11.9315,13,1/16/2020 11:30,Glass (on the basis of 24 O)
14 / 1 . ,1.1639,63.0326,4.6216,9.8882,,0.0115,1.1513,2.9873,0.1636,11.2875,,1.7436,3.278,0.0137,99.3429,0.0034,99.3395,5245,24577,196, , ,CR1A3_3 PT1,3955.36,12.6256,14,1/16/2020 12:56,Glass (on the basis of 24 O)
15 / 1 . ,0.8643,64.0332,3.1904,11.3148,,0,1.01,3.504,0.1289,9.0806,,3.1614,2.2345,0.0112,98.5334,0.0028,98.5306,5256,24551,196, , ,CR1A3_3 PT2,3982.89,12.1587,15,1/16/2020 13:05,Glass (on the basis of 24 O)
16 / 1 . ,1.1745,61.0738,4.2072,9.9402,,0,1.0947,3.1661,0.1859,11.4533,,2.0157,3.3981,0.0067,97.7163,0.0017,97.7146,5186,24523,196, , ,CR1A3_3 PT3,3998.74,12.4626,16,1/16/2020 13:13,Glass (on the basis of 24 O)
17 / 1 . ,1.0194,64.9066,3.7272,9.8287,,0,0.8951,2.4594,0.1709,9.3165,,1.2436,3.9183,0.0244,97.5102,0.0061,97.5041,5273,24603,196, , ,CR1A3_3 PT4,3934.81,12.1708,17,1/16/2020 13:21,Glass (on the basis of 24 O)
18 / 1 . ,1.1819,66.5957,2.9181,11.7534,,0,0.3673,2.2,0.0836,5.9355,,1.8455,5.2346,0.0045,98.12,0.0011,98.1189,5228,24622,196, , ,CR1A3_3 PT5,3908.09,11.8604,18,1/16/2020 13:29,Glass (on the basis of 24 O)
19 / 1 . ,1.044,62.1729,3.9664,10.3665,,0,0.9901,2.7508,0.1788,9.5322,,1.1825,3.6896,0,95.8739,0,95.8739,5126,24482,196, , ,CR1A3_3 PT6,4030.23,12.0274,19,1/16/2020 13:38,Glass (on the basis of 24 O)
20 / 1 . ,,0.1843,18.567,2.7972,0.4822,0.2139,1.3632,0.2406,0.4806,70.3369,0.1323,,,,94.7982,0,94.7982,5198,24601,196, , ,CR1A3_3 PT7,3923.71,19.2753,20,1/16/2020 13:47,Spinel (on the basis of 4 O)
21 / 1 . ,,43.2489,2.6586,17.4481,0.0512,0.0141,2.6229,6.7113,0.1212,9.3753,0.0391,,,,82.2907,0,82.2907,5279,24497,196, , ,CR1A3_3 PT8,4040.13,10.4613,21,1/16/2020 13:56,Spinel (on the basis of 4 O)
10 / 1 . ,0.7825,60.0655,3.1298,13.3605,,0,1.0228,4.2889,0.1126,9.8766,,3.5603,2.7531,0.0126,98.9652,0.0031,98.9621,2334,-27620,300, , ,CR1B_1 Pt11,281.72,12.3614,10,1/23/2020 11:22,Glass (on the basis of 24 O)
11 / 1 . ,1.0765,62.6867,4.1654,11.7814,,0,0.4056,2.5651,0.096,9.3946,,2.4847,3.752,0.0085,98.4164,0.0021,98.4143,2364,-27560,300, , ,CR1B_1 Pt12,348.63,12.2796,11,1/23/2020 11:31,Glass (on the basis of 24 O)
12 / 1 . ,0.6347,60.8666,1.7888,17.5508,,0.0096,0.468,4.992,0.0578,6.0779,,4.7396,2.2592,0.017,99.4621,0.0043,99.4579,2146,-27829,300, , ,CR1B_1 Pt13,97.14,11.9096,12,1/23/2020 11:43,Glass (on the basis of 24 O)
13 / 1 . ,0.8326,60.0404,3.5117,13.822,,0,1.6118,4.0118,0.1593,10.978,,3.6745,2.58,0.0042,101.2261,0.001,101.225,2319,-27726,300, , ,CR1B_1 Pt14,179.76,12.7248,13,1/23/2020 11:53,Glass (on the basis of 24 O)
14 / 1 . ,0.8888,60.3904,3.1497,12.7022,,0.0312,1.2871,4.1196,0.1247,10.7525,,3.0243,3.1496,0.0067,99.6267,0.0017,99.6251,2351,-27744,300, , ,CR1B_1 Pt15,184.14,12.5555,14,1/23/2020 12:02,Glass (on the basis of 24 O)
1 / 1 . ,,0.1274,18.4163,2.9515,0.6399,0.7855,2.1628,0.0739,0.3682,69.8084,0.0656,,,,95.3995,0,95.3995,2228,-27881,303, , ,CR1B_1 Pt2,0,19.2964,1,1/23/2020 9:03,Spinel (on the basis of 4 O)
2 / 1 . ,,0.1379,18.174,2.8578,0.6886,1.1726,2.3111,0.0648,0.3639,69.0106,0.0785,,,,94.8599,0,94.8599,2236,-27858,303, , ,CR1B_1 Pt3,24.35,19.1709,2,1/23/2020 9:42,Spinel (on the basis of 4 O)
3 / 1 . ,,0.0855,17.3962,2.9597,0.6016,0.4486,3.5336,0.0423,0.3388,70.1145,0.0568,,,,95.5776,0,95.5776,2545,-27670,303, , ,CR1B_1 Pt4,380.8,19.251,3,1/23/2020 9:51,Spinel (on the basis of 4 O)
4 / 1 . ,0.7698,63.3858,3.1383,14.1568,,0,0.9677,3.7104,0.1386,7.6005,,3.7132,3.0711,0,100.6522,0,100.6522,2197,-27763,300, , ,CR1B_1 Pt5,122.04,12.2727,4,1/23/2020 10:05,Glass (on the basis of 24 O)
5 / 1 . ,0.6336,62.2344,1.7488,14.3868,,0,0.7592,4.7946,0.085,4.6065,,4.0769,2.934,0.0011,96.2608,0.0003,96.2606,2383,-27617,300, , ,CR1B_1 Pt6,306.15,11.4364,5,1/23/2020 10:15,Glass (on the basis of 24 O)
8 / 1 . ,1.0371,58.2483,4.2565,10.8291,,0.0191,1.3807,3.7353,0.1315,13.4953,,2.0948,3.2296,0.0093,98.4667,0.0023,98.4644,2435,-27897,300, , ,CR1B_1 Pt9,207.64,12.79,8,1/23/2020 10:48,Glass (on the basis of 24 O)
15 / 1 . ,0.7911,60.8481,2.7608,13.2816,,0.0135,1.3388,4.2191,0.1821,8.7463,,3.8622,2.8815,0.0086,98.9337,0.0021,98.9315,6457,-32462,334, , ,CR1B1_2 PT1,6234.66,12.2217,15,1/23/2020 14:16,Glass (on the basis of 24 O)
16 / 1 . ,0.8297,60.4205,3.5608,12.2302,,0.0063,0.8615,3.4408,0.1282,10.4126,,2.8833,3.2279,0.0085,98.0104,0.0021,98.0083,6573,-32575,334, , ,CR1B1_2 PT2,6396.38,12.3331,16,1/23/2020 14:24,Glass (on the basis of 24 O)
17 / 1 . ,1.0346,63.22,3.1048,12.8093,,0.0239,0.3317,2.8739,0.1216,9.0586,,2.8271,3.8673,0.0105,99.2831,0.0026,99.2805,6251,-32695,334, , ,CR1B1_2 PT3,6273.76,12.3043,17,1/23/2020 14:33,Glass (on the basis of 24 O)
18 / 1 . ,0.8218,59.6634,3.3932,12.4965,,0,1.0176,4.0043,0.1377,10.8691,,2.5235,3.278,0.0115,98.2168,0.0029,98.2139,6424,-32565,334, , ,CR1B1_2 PT4,6288.66,12.4338,18,1/23/2020 14:58,Glass (on the basis of 24 O)
19 / 1 . ,0.8766,60.7093,2.9426,13.516,,0,0.8198,3.8259,0.1287,9.1058,,3.4249,3.1231,0.0031,98.4756,0.0008,98.4748,6325,-32400,334, , ,CR1B1_2 PT5,6099.81,12.212,19,1/23/2020 15:07,Glass (on the basis of 24 O)
20 / 1 . ,0.8588,60.9666,3.1946,13.7626,,0.0045,0.9428,3.9868,0.1496,8.8923,,3.5828,2.6322,0.0021,98.9758,0.0005,98.9753,6234,-32537,334, , ,CR1B1_2 PT6,6142.26,12.2358,20,1/23/2020 15:17,Glass (on the basis of 24 O)
21 / 1 . ,,0.108,18.3442,2.8685,0.6185,0.8864,2.1293,0.1113,0.3761,68.7216,0.0937,,,,94.2576,0,94.2576,6355,-32416,334, , ,CR1B1_2 PT7,6131.83,19.0614,21,1/23/2020 15:28,Spinel (on the basis of 4 O)
22 / 1 . ,,0.1057,18.3319,2.7383,0.6552,0.8469,3.0621,0.0574,0.3327,68.0861,0.052,,,,94.2682,0,94.2682,6535,-32389,334, , ,CR1B1_2 PT8,6234.84,18.973,22,1/23/2020 15:36,Spinel (on the basis of 4 O)
23 / 1 . ,,0.1071,16.8351,3.0666,0.5439,0.3893,3.6028,0.0332,0.3389,69.49,0.0503,,,,94.4572,0,94.4572,9433,-32283,331, , ,CR1B1_2 PT9,8443.37,19.0177,23,1/23/2020 15:56,Spinel (on the basis of 4 O)
1 / 1 . ,0.8382,58.6231,3.4208,12.8013,,0,1.511,4.6329,0.1094,10.2615,,4.1102,2.6128,0.0177,98.9389,0.0044,98.9345,-5138,20224,327, , ,CR1B1_A pt2,0,12.4228,1,11/21/2019 14:25,Glass (on the basis of 24 O)
2 / 1 . ,0.7975,58.6044,3.0162,12.1494,,0.0105,1.5393,4.2949,0.1799,11.1465,,3.5044,2.7822,0.0136,98.0388,0.0034,98.0354,-5198,20196,327, , ,CR1B1_A pt3,66.21,12.4087,2,11/21/2019 14:41,Glass (on the basis of 24 O)
3 / 1 . ,0.7705,58.8428,3.099,12.5459,,0,1.7429,4.9812,0.174,10.6018,,3.8372,2.6787,0.0269,99.301,0.0067,99.2943,-4787,20285,327, , ,CR1B1_A pt4,356.26,12.5157,3,11/21/2019 14:46,Glass (on the basis of 24 O)
4 / 1 . ,0.7264,59.9716,3.1942,13.0342,,0.0085,1.2976,4.1044,0.0071,9.7138,,3.8392,3.0291,0.0079,98.9339,0.002,98.9319,-4919,20423,327, , ,CR1B1_A pt5,295.91,12.3388,4,11/21/2019 15:08,Glass (on the basis of 24 O)
5 / 1 . ,0.7968,59.5183,3.4516,12.703,,0,1.4759,4.3633,0.1321,9.826,,4.009,2.6359,0.0023,98.9143,0.0006,98.9138,-5084,20380,327, , ,CR1B1_A pt6,165.08,12.3629,5,11/21/2019 15:14,Glass (on the basis of 24 O)
6 / 1 . ,0.739,58.249,3.1471,12.2786,,0.0151,1.6954,4.8326,0.1703,11.062,,3.8238,2.6995,0.0056,98.7179,0.0014,98.7165,-5089,20467,327, , ,CR1B1_A pt7,247.89,12.5019,6,11/21/2019 15:31,Glass (on the basis of 24 O)
6 / 2 . ,0.7324,58.2501,2.9507,13.0689,,0.0038,0.9131,4.2929,0.1338,9.1918,,4.0435,2.9495,0.0101,96.5408,0.0025,96.5383,-5129,20494,327, , ,CR1B1_A pt8,270.15,12.0272,7,11/21/2019 15:36,Glass (on the basis of 24 O)
6 / 3 . ,0.7089,59.9615,3.3117,14.0169,,0.0029,1.3631,4.5168,0.1238,8.7088,,4.0461,2.8657,0.0147,99.641,0.0037,99.6373,-5312,20302,327, , ,CR1B1_A pt9,190.68,12.3317,8,11/21/2019 15:42,Glass (on the basis of 24 O)
35 / 1 . ,0.1942,23.7514,0.3925,7.8619,,0.0083,1.2755,1.4495,0.0113,0.4248,,1.8474,0.4825,0.0108,37.7099,0.0027,37.7072,-1075,32755,388, , ,CR2A2_1 PT1,62882.73,4.2328,35,1/14/2020 13:16,Glass (on the basis of 24 O)
36 / 1 . ,0.0815,14.8617,0.1344,7.2027,,0,1.1005,0.9686,0,0.0126,,1.3514,0.1712,0,25.8846,0,25.8846,8364,29342,385, , ,CR2A2_1 PT2,59530.18,2.8447,36,1/14/2020 13:34,Glass (on the basis of 24 O)
22 / 1 . ,0.6606,56.2368,3.1657,12.7783,,0,1.6984,4.0712,0.1461,10.1088,,2.6653,2.9397,0.0213,94.4921,0.0053,94.4868,-9526,-27774,399, , ,CR2A2_2 PT1,57980.2,11.9125,22,1/16/2020 14:49,Glass (on the basis of 24 O)
24 / 1 . ,0.814,53.8808,3.4393,16.813,,0.0204,2.046,5.1987,0.1299,12.6585,,4.4394,2.1151,0.0148,101.5697,0.0037,101.566,-9464,-27739,399, , ,CR2A2_2 PT3,57931.21,12.9739,24,1/16/2020 15:12,Glass (on the basis of 24 O)
25 / 1 . ,0.6976,59.7094,3.1172,14.1008,,0,1.2782,4.5568,0.1208,8.9666,,3.7027,2.8778,0.0149,99.1429,0.0037,99.1392,-9502,-27725,399, , ,CR2A2_2 PT4,57926.84,12.2985,25,1/16/2020 15:22,Glass (on the basis of 24 O)
27 / 1 . ,0.76,57.3809,2.5148,14.1897,,0,3.1623,6.7796,0.181,11.4318,,4.2396,2.1613,0,102.801,0,102.801,-9346,-27882,399, , ,CR2A2_2 PT6,58041.61,13.0117,27,1/16/2020 15:41,Glass (on the basis of 24 O)
28 / 1 . ,0.6529,55.0318,2.9909,15.0001,,0.0243,2.0061,5.7217,0.1802,12.1016,,3.878,2.1024,0.0133,99.7034,0.0033,99.7,-9439,-27774,399, , ,CR2A2_2 PT7,57959.14,12.7256,28,1/16/2020 15:52,Glass (on the basis of 24 O)
29 / 1 . ,0.6627,59.2459,2.8664,12.8028,,0,1.862,4.7108,0.1167,10.0472,,3.2258,3.1693,0.0116,98.7211,0.0029,98.7182,9143,-25972,424, , ,CR2A2_3 PT1,54636.79,12.3897,29,1/16/2020 16:16,Glass (on the basis of 24 O)
30 / 1 . ,0.7758,61.2319,3.0007,14.5848,,0,1.657,5.3137,0.1,9.3713,,3.7025,2.7932,0,102.531,0,102.531,8989,-25907,424, , ,CR2A2_3 PT2,54559.28,12.7384,30,1/16/2020 16:27,Glass (on the basis of 24 O)
31 / 1 . ,0.7891,61.7711,3.3076,14.7175,,0.0047,1.4833,4.4222,0.1536,10.6682,,3.8789,2.7169,0.0145,103.9274,0.0036,103.9238,9041,-25911,424, , ,CR2A2_3 PT3,54567.52,13.0018,31,1/16/2020 16:35,Glass (on the basis of 24 O)
33 / 1 . ,0.9963,59.297,2.8873,15.7903,,0,0.7239,4.826,0.0197,5.2423,,4.3997,2.7764,0.0011,96.9599,0.0003,96.9596,9100,-25987,424, , ,CR2A2_3 PT5,54648.14,11.6267,33,1/16/2020 16:50,Glass (on the basis of 24 O)
1 / 1 . ,0.9293,62.4437,3.8675,12.3027,,0.0273,1.4492,3.9565,0.1382,11.0388,,2.8994,3.8228,0.0156,102.891,0.0039,102.8871,3319,-29974,335, , ,CR2B1_1 PT1,0,13.0159,1,1/13/2020 8:42,Glass (on the basis of 24 O)
2 / 1 . ,0.784,61.7774,2.6908,14.9663,,0,0.9958,4.3886,0.0907,8.3164,,4.1769,2.4393,0.0157,100.6419,0.0039,100.638,3210,-30240,335, , ,CR2B1_1 PT2,287.47,12.3217,2,1/13/2020 8:58,Glass (on the basis of 24 O)
3 / 1 . ,0.6842,59.4054,3.0304,15.9376,,0.0308,1.9506,6.2305,0.1705,10.5647,,3.4997,2.6869,0.0083,104.1996,0.0021,104.1975,3010,-30218,335, , ,CR2B1_1 PT3,393.72,13.1083,3,1/13/2020 9:13,Glass (on the basis of 24 O)
5 / 1 . ,0.5972,57.606,4.4205,13.6818,,0,2.4329,5.1478,0.1578,10.8816,,3.9405,0.9687,0.0171,99.8519,0.0043,99.8476,3302,-29676,335, , ,CR2B1_1 PT5,298.48,12.5716,5,1/13/2020 9:41,Glass (on the basis of 24 O)
6 / 1 . ,0.4562,54.066,2.3061,13.648,,0.0108,3.096,6.3608,0.1653,8.9082,,3.1504,1.7439,0.0043,93.916,0.0011,93.915,3458,-29717,335, , ,CR2B1_1 PT6,292.18,11.7175,6,1/13/2020 9:51,Glass (on the basis of 24 O)
7 / 1 . ,0.7153,59.215,2.9886,12.9453,,0.0009,1.7498,4.3376,0.1383,10.6977,,3.5262,2.9745,0.0095,99.2986,0.0024,99.2962,3575,-30278,335, , ,CR2B1_1 PT7,397.43,12.5,7,1/13/2020 11:18,Glass (on the basis of 24 O)
8 / 1 . ,,0.6653,19.088,3.1789,0.622,0.5176,2.5627,0.1276,0.3402,67.3889,0.0992,,,,94.5903,0,94.5903,2901,-29910,335, , ,CR2B1_1 PT8,422.87,18.9559,8,1/13/2020 11:37,Spinel (on the basis of 4 O)
9 / 1 . ,,1.031,17.8257,3.6226,0.6128,0.6347,2.4263,0.1575,0.2969,68.3787,0.0805,,,,95.0666,0,95.0666,-1040,-21510,216, , ,CR2B1_1 PT9,9521.26,19.0507,9,1/13/2020 12:13,Spinel (on the basis of 4 O)
18 / 1 . ,0.7308,56.5107,3.8231,10.7882,,0.0271,2.0183,4.6993,0.1679,13,,2.8573,2.9802,0.0197,97.6225,0.0049,97.6176,-675,-21445,227, , ,CR2B1_2 PT10,9418.47,12.6563,18,1/14/2020 8:13,Glass (on the basis of 24 O)
19 / 1 . ,0.8056,52.7053,3.7029,10.5692,,0,1.9761,5.3338,0.2056,12.9207,,3.0756,2.6486,0,93.9433,0,93.9433,-781,-21541,227, , ,CR2B1_2 PT11,9377.48,12.259,19,1/14/2020 8:25,Glass (on the basis of 24 O)
20 / 1 . ,0.6957,61.0411,2.596,13.2963,,0.0132,2.1168,5.3458,0.1373,9.8946,,3.885,2.6099,0,101.6318,0,101.6318,-746,-21727,227, , ,CR2B1_2 PT12,9195.05,12.6717,20,1/14/2020 8:35,Glass (on the basis of 24 O)
10 / 1 . ,,3.0744,19.4364,3.0794,0.6452,0.363,2.578,0.1353,0.3237,67.4825,0.0873,,,,97.2053,0,97.2053,-811,-21337,216, , ,CR2B1_2 PT2,9574.38,19.2546,10,1/13/2020 12:24,Spinel (on the basis of 4 O)
11 / 1 . ,0.4914,55.2748,2.5259,9.401,,0.0205,8.2813,11.1181,0.2834,12.7917,,2.4848,1.092,0.0094,103.7744,0.0024,103.772,-722,-21567,217, , ,CR2B1_2 PT3,9328.52,13.4663,11,1/13/2020 12:36,Glass (on the basis of 24 O)
13 / 1 . ,0.4622,52.3544,1.9919,14.5638,,0.0135,3.1462,6.5875,0.141,8.0401,,3.1028,1.8278,0.0127,92.244,0.0032,92.2408,-946,-21611,217, , ,CR2B1_2 PT5,9388.5,11.4373,13,1/13/2020 13:20,Glass (on the basis of 24 O)
15 / 1 . ,0.7224,47.5961,3.1059,12.0631,,0,2.3751,4.1115,0.1461,10.9691,,3.0362,2.9145,0.019,87.0589,0.0047,87.0542,-634,-21448,231, , ,CR2B1_2 PT7,9398.39,11.2007,15,1/13/2020 15:25,Glass (on the basis of 24 O)
16 / 1 . ,0.5981,54.1172,2.7087,12.2647,,0.0009,1.438,4.5669,0.1545,9.7022,,2.998,2.5702,0.0067,91.1261,0.0017,91.1244,-875,-21359,231, , ,CR2B1_2 PT8,9582.21,11.4842,16,1/13/2020 15:46,Glass (on the basis of 24 O)
17 / 1 . ,0.712,59.7501,3.3058,12.3464,,0.0192,1.9501,4.7207,0.145,11.7141,,3.5835,2.7448,0.027,101.0188,0.0067,101.012,-919,-21445,227, , ,CR2B1_2 PT9,9524.5,12.8278,17,1/14/2020 8:04,Glass (on the basis of 24 O)
21 / 1 . ,0.7617,60.7018,3.0198,13.1119,,0.0221,1.4957,4.5482,0.128,9.7952,,3.4844,2.2992,0.0052,99.3733,0.0013,99.372,-6811,-30388,346, , ,CR2B1_3 PT1,10138.46,12.3798,21,1/14/2020 8:57,Glass (on the basis of 24 O)
30 / 1 . ,,1.2639,16.0738,1.6575,0.5537,0.4576,1.435,0.439,0.3198,67.7893,0.1172,,,,90.1069,0,90.1069,-6701,-30444,346, , ,CR2B1_3 PT10,10031.02,18.3633,30,1/14/2020 10:34,Spinel (on the basis of 4 O)
22 / 1 . ,0.7545,60.22,3.0486,12.6807,,0,1.8031,4.9992,0.1497,11.185,,3.5157,2.3466,0.0262,100.7291,0.0065,100.7226,-6709,-30335,346, , ,CR2B1_3 PT2,10034.5,12.7096,22,1/14/2020 9:06,Glass (on the basis of 24 O)
23 / 1 . ,0.7737,61.1413,2.9679,13.1309,,0,1.8205,5.0227,0.1355,10.4857,,3.3331,2.188,0.0011,101.0003,0.0003,101.0001,-6529,-30435,346, , ,CR2B1_3 PT3,9858.79,12.6459,23,1/14/2020 9:18,Glass (on the basis of 24 O)
